,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,x,y,c
25879,2zf15qy3JhTh16gLzEVeb6,as you are,9,188040,0,['Dean Martin'],['49e4v89VmlDcFCMyDv9wQ9'],1952,-2.3214187614956647,-1.3577008536410333,11,-0.8843865590734388,0,-0.3828032290111303,1.4251289368895184,0.00955235940254413,-0.6181182539375023,-1.25467185717775,-0.5820049033788177,4,-68.38491821289062,-3.6534409523010254,71
25881,2zmIwzE8B0Ay2e3wg39t06,i'm in the mood for love,8,191333,0,['Eddie Fisher'],['6bHSJldq5J4lYowHOm9OOX'],1952-07-01,-2.1949909202950346,-1.5283879687024247,2,0.04599169351524843,1,-0.40059160150347534,1.3477288239061387,-0.4250368618126967,0.1631080187963795,-1.5146934210264573,-1.1826276460252374,3,-60.85720443725586,7.4196577072143555,71
25882,319gYR32rnug41daq0BvFQ,prelude to a kiss,9,196000,0,['Oscar Peterson'],['6zkX5fhrSD4tdVOmimR9wB'],1952-12-02,-0.732040186402028,-1.6712888092189386,6,-1.2907270503835555,0,-0.35000591722836927,1.5569957960463883,2.9023696873431764,-0.5313153347448487,-1.7009775264703078,-1.8354273265991559,4,-1.873300552368164,83.97279357910156,45
25883,3JBaO2OD2WjSzHURMF6Rjn,first silent picture - extended version,8,84533,0,['MGM Studio Orchestra'],['2EjrRJZBrUhYqcgmYF69N1'],1952-04-11,-1.454484993262772,-0.9806014133891222,4,-0.2320410894653203,0,-0.38780620877460237,1.321928786245012,0.10697884972178816,1.1396408597137317,-1.8892020913458647,-2.4413584763238405,4,-46.240962982177734,7.920934677124023,71
25884,3M3unGO81i24G1aaA7C2bB,these foolish things (remind me of you),10,276933,0,['Oscar Peterson'],['6zkX5fhrSD4tdVOmimR9wB'],1952-01-01,-0.762142053354559,-2.003533263419833,10,-2.673227870914496,1,-0.360567763395699,1.2674620400715222,-0.425119674329468,-0.5964175241393389,-1.4448368814850137,0.38698097348337407,4,-64.7115707397461,-41.524658203125,71
25885,3Y3TN9DaKjZQd0gODkoA7u,when you're smiling (the whole world smiles with you),9,185000,0,['Dean Martin'],['49e4v89VmlDcFCMyDv9wQ9'],1952,-1.3220367786716358,-1.7931514704371878,7,-1.171850842819426,1,-0.4122652209515767,0.8259947289811326,-0.42028582154055166,-0.4336620506531135,-1.5302170964801116,-0.881896305787608,4,-66.85848236083984,-20.569326400756836,71
25886,3ZnTe3M5SpHT7XKOy7r9HG,john hardy's wife,9,201000,0,['Oscar Peterson'],['6zkX5fhrSD4tdVOmimR9wB'],1952-12-02,-0.06377874005583938,-1.5482353076630517,0,-1.4962551712299692,1,-0.3077585325590499,1.5512624543439157,3.0597509409358015,-0.6805078521072221,0.20067271660233013,1.8457177995851957,4,30.184926986694336,60.13187026977539,45
25887,3eL3GR79SUy7PbNLcL1Ofg,anywhere i wander,10,195240,0,['Danny Kaye'],['4r6DXcqtllstKwEx3ndKMj'],1952-01-01,-1.7494832893975758,-1.3457924502646572,0,-0.7466473499784715,1,-0.40059160150347534,1.3591955073110837,-0.14445643875595332,0.6350988919064333,-1.332290234446021,-1.5828076251974426,3,-50.495540618896484,3.893200397491455,71
25888,3fOeESLDWeA3dAv7BC2fqu,stunt montage - extended version,9,124240,0,['MGM Studio Orchestra'],['2EjrRJZBrUhYqcgmYF69N1'],1952-04-11,-2.237133534028578,-1.58396051779218,4,-2.173161840748031,0,-0.36334719659762793,1.3821288741209743,-0.422863876361307,0.645949256805515,-1.6544065001093453,-0.9964302281281373,4,-55.32550048828125,8.515239715576172,71
25890,3sIJqTH7dzC9u7H7ZI9qjI,love me or leave me,8,165093,0,['Gerry Mulligan Quartet'],['6nLkWu5DSXItXcB6q2ISTO'],1952-01-01,0.6526456934143985,-0.6392271832663392,5,-0.2892195628556705,0,0.367643735509674,1.4079289117821006,0.8002058000702559,-0.6230009181420891,0.7168349254363319,-0.28644758016683836,4,43.020442962646484,5.804908752441406,36
